Site coverage - May and June 2022,,,,,,,,,,,,,,,,
,,Date,,,,,,,,,,,,,,
Location,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Province,Site,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,1,Yes,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,
,3,,,Yes,,,,,,,,,,,,
,4,,,Yes,,,,,,,,,,,,
,5,,,,,Yes,,,,,,Yes,,,,
,6,,,,,,,,,,,,,,,
,7,,Yes,,Yes,,Yes,,Yes,,,,,,,
B,8,Yes,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,
,10,,,Yes,,,,Yes,,,,,,,,
,11,,,Yes,,Yes,,,,,,,,,,
,12,,,,,Yes,,,,,,Yes,,,,
,13,,,,,,,,,,,,,,,
,14,,Yes,,Yes,,Yes,,Yes,,,,,,,
