Date,Province,Site,Status
2022-05-31,A,1,Yes
2022-06-02,A,3,Yes
2022-06-03,A,3,Yes
2022-06-02,A,4,Yes
2022-06-04,A,5,Yes
2022-06-05,A,5,Yes
2022-06-06,A,5,Yes
2022-06-07,A,5,Yes
2022-06-08,A,5,Yes
2022-06-10,A,5,Yes
2022-06-11,A,5,Yes
2022-06-12,A,5,Yes
2022-06-01,A,7,Yes
2022-06-03,A,7,Yes
2022-06-05,A,7,Yes
2022-06-07,A,7,Yes
2022-05-31,B,8,Yes
2022-06-02,B,10,Yes
2022-06-03,B,10,Yes
2022-06-06,B,10,Yes
2022-06-07,B,10,Yes
2022-06-02,B,11,Yes
2022-06-04,B,11,Yes
2022-06-04,B,12,Yes
2022-06-05,B,12,Yes
2022-06-06,B,12,Yes
2022-06-07,B,12,Yes
2022-06-08,B,12,Yes
2022-06-10,B,12,Yes
2022-06-11,B,12,Yes
2022-06-12,B,12,Yes
2022-06-01,B,14,Yes
2022-06-03,B,14,Yes
2022-06-05,B,14,Yes
2022-06-07,B,14,Yes
